Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
325,US,Ports Initiative,"The U.S. Environmental Protection Agency\'s (EPA) Ports Initiative is an
incentive-based program designed to reduce emissions by encouraging port
authorities and terminal operators to retrofit and replace older diesel
engines with new technologies and use cleaner fuels. EPA\'s Ports
Initiative offers funding to port authorities and public entities to
help them overcome barriers that impede the adoption of cleaner diesel
technologies and strategies. For more information, see the [Ports
Initiative](https://www.epa.gov/ports-initiative) website.
",,,FALSE,34,Programs,U.S. Environmental Protection Agency,,,,,,BIOD|ELEC|HEV|HY|NG|PHEV|LPG,GNT|OTHER,,FLEET|GOV,
342,US,Small Agri-Biodiesel Producer Tax Credit,"NOTE: This incentive originally expired on December 31, 2017, but was
retroactively extended through December 31, 2020, by Public Law 116-94.

A small agri-biodiesel producer that is registered with the Internal
Revenue Service (IRS) may be eligible for a tax incentive in the amount
of \$0.10 per gallon of agri-biodiesel that is: sold and used by the
purchaser in the purchaser\'s trade or business to produce an
agri-biodiesel and diesel fuel mixture; sold and used by the purchaser
as a fuel in a trade or business; sold at retail for use as a motor
vehicle fuel; used by the producer in a trade or business to produce an
agri-biodiesel and diesel fuel mixture; or used by the producer as a
fuel in a trade or business. A small producer is one that has, at all
times during the tax year, not more than 60 million gallons of
productive capacity of any type of agri-biodiesel. Agri-biodiesel is
defined as diesel fuel derived solely from virgin oils, including esters
derived from corn, soybeans, sunflower seeds, cottonseeds, canola,
crambe, rapeseeds, safflowers, flaxseeds, rice bran, mustard seeds, and
camelina, and from animal fats; renewable diesel does not qualify for
the credit. The incentive applies only to the first 15 million gallons
of agri-biodiesel produced in a tax year is allowed as a credit against
the producer\'s income tax liability.. For more information, see IRS
Publication 510 and IRS Forms 637 and 8864, which are available via the
[IRS](http://www.irs.gov/) website. (Reference [Public
Law](https://www.congress.gov/public-laws/116th-congress) 116-94,
[Public Law](https://www.congress.gov/public-laws/111th-congress)
111-312, Section 701; and 26 [U.S.
Code](https://www.govinfo.gov/app/collection/uscode) 40A)
",2005-08-08 00:00:00 UTC,2019-12-20 00:00:00 UTC,FALSE,16,Incentives,U.S. Internal Revenue Service,2019-12-23 20:17:47 UTC,2022-12-31 00:00:00 UTC,,,,BIOD,TAX,,AFP,http://thomas.loc.gov/|http://www.gpo.gov/fdsys/|https://www.congress.gov/
344,US,Vehicle Incremental Cost Allocation,"The U.S. General Services Administration (GSA) must allocate the
incremental cost of purchasing alternative fuel vehicles (AFVs) across
the entire fleet of vehicles distributed by GSA. This mandate also
applies to other federal agencies that procure vehicles for federal
fleets. For more information, see the GSA\'s
[AFV](http://www.gsa.gov/afv) website. (Reference 42 [U.S.
Code](https://www.govinfo.gov/) 13212 (c))
",1992-10-24 00:00:00 UTC,2005-08-08 00:00:00 UTC,FALSE,61,Laws and Regulations,U.S. General Services Administration,,,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,,REQ,GOV,
346,US,Fuel Economy Test Procedures and Labeling,"The U.S. Environmental Protection Agency (EPA) is responsible for motor
vehicle fuel economy testing. Manufacturers test their own vehicles and
report the results to EPA. EPA reviews the results and confirms a
portion of them using their own testing facilities. To aid consumers
shopping for new vehicles, EPA redesigned the fuel economy window
sticker posted on all new cars and light trucks starting with Model Year
2013 vehicles to be easier to read and understand. EPA also redesigned
fuel economy window stickers for electric and other advanced vehicles.
EPA is responsible for providing the posted fuel economy data and does
so through the [FuelEconomy.gov](http://www.fueleconomy.gov/) website.
For more information, visit EPA\'s [Fuel
Economy](http://www.epa.gov/fueleconomy/) website. (Reference 40
[CFR](https://www.govinfo.gov/) 600)
",2005-08-08 00:00:00 UTC,,FALSE,32,Laws and Regulations,U.S. Environmental Protection Agency,,,,,,EFFEC,,OTHER,MAN,
347,US,Vehicle Acquisition and Fuel Use Requirements for State and Alternative Fuel Provider Fleets,"Under the Energy Policy Act (EPAct) of 1992, as amended, certain state
government and alternative fuel provider fleets are required to acquire
alternative fuel vehicles (AFVs) as a portion of their annual light-duty
vehicle acquisitions. Compliance is required by fleets that operate,
lease, or control 50 or more light-duty vehicles within the United
States. Of those 50 vehicles, at least 20 must be used primarily within
a single Metropolitan Statistical Area/Consolidated Metropolitan
Statistical Area, and those same 20 vehicles must also be capable of
being centrally fueled for the fleet to be subject to the regulatory
requirements.

Under [Standard
Compliance](https://epact.energy.gov/standard-compliance), the AFVs that
covered fleets acquire help them achieve compliance, with each AFV
acquired earning the fleet one AFV-acquisition credit. Covered fleets
may earn additional credits for AFVs earned in excess of their
requirements, and these credits may be banked for future use toward
compliance or traded with other fleets. Additionally, fleets that use
fuel blends containing at least 20% biodiesel (B20) in medium- and
heavy-duty vehicles may earn credits toward their annual AFV-acquisition
requirements. A fleet may also earn credits that may be used toward
compliance or banked once the fleet achieves compliance for investments
in alternative fuel infrastructure, mobile non-road equipment, and
emerging technologies associated with certain electric drive vehicle
technologies.

Fleets may also opt into [Alternative
Compliance](https://epact.energy.gov/alternative-compliance), which
allows fleets the option to choose a petroleum reduction path in lieu of
acquiring AFVs under Standard Compliance. Interested fleets must obtain
from DOE a waiver from Standard Compliance by submitting a plan that
demonstrates a path by which they will achieve a certain level of
petroleum reduction specific to their fleet composition.

For more information, visit the [EPAct State and Alternative Fuel
Provider Fleets](https://epact.energy.gov/) website.

(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13251 and 13263a,
and 10 [CFR](https://www.govinfo.gov/) 490)
",1992-10-24 00:00:00 UTC,2007-03-20 00:00:00 UTC,FALSE,23,Laws and Regulations,U.S. Department of Energy,2015-01-02 16:15:19 UTC,,,,,BIOD|ETH|ELEC|EFFEC|HY|NG|PHEV|LPG,,REQ,FLEET|GOV,
357,US,Vehicle Acquisition and Fuel Use Requirements for Federal Fleets,"Under the Energy Policy Act (EPAct) of 1992, 75% of new light-duty
vehicles acquired by covered federal fleets must be alternative fuel
vehicles (AFVs). As amended in January 2008, Section 301 of EPAct 1992
expands the definition of AFVs to include hybrid electric vehicles, fuel
cell vehicles, and advanced lean burn vehicles. Fleets that use fuel
blends containing at least 20% biodiesel (B20) may earn credits toward
their annual requirements. Federal fleets are also required to use
alternative fuels in dual-fuel vehicles unless the U.S. Department of
Energy (DOE) approves waivers for agency vehicles; grounds for a waiver
include lack of alternative fuel availability and unreasonable cost (per
EPAct 2005, section 701).

Additional requirements for federal fleets were included in the [Energy
Independence and Security Act of
2007](http://www.afdc.energy.gov/laws/eisa), such as fleet management
plans and petroleum reduction from 2005 levels (Section 142), low
greenhouse gas (GHG) emitting vehicle acquisition requirements (Section
141), and renewable fuel infrastructure installation requirements
(Section 246). For more information, see the [Federal Fleet
Management](https://federalfleets.energy.gov/) website.

To track progress toward meeting AFV acquisition and fuel use
requirements, federal fleets must report on their percent alternative
fuel increase compared to the fiscal year 2005 baseline, alternative
fuel use as a percentage of total fuel consumption, AFV acquisitions as
a percentage of vehicle acquisitions, and fleet-wide miles per gasoline
gallon equivalent of petroleum fuels.

Executive Order 13834, issued in May 2018, requires the Secretary of
Energy (Secretary), in coordination with the Secretary of Defense, the
Administrator of General Services, and the heads of other agencies as
appropriate, to review the existing federal vehicle fleet requirements.
In April 2019, the Secretary provided a report to the Chairman of the
Council on Environmental Quality and the Director of the Office of
Management and Budget detailing opportunities to optimize federal fleet
performance, reduce associated costs, and streamline reporting and
compliance requirements. Specifically, the report recommends that
federal agencies identify and implement strategies to:

-   Right-size the fleet
-   Reduce vehicle miles traveled
-   Implement more fuel efficient vehicles
-   Align the implementation of AFVs and associated fueling
    infrastructure

Executive Order 14008, issued in January 2021, requires the Chair of the
Council on Environmental Quality, the Administrator of General Services,
and the Director of the Office and Management and Budget, in
coordination with the Secretary of Commerce, the Secretary of Labor, the
Secretary, and the heads of other relevant agencies, to assist the
National Climate Advisor in developing a comprehensive plan to
facilitate clean and zero-emission vehicles for federal, state, local,
and tribal government fleets, including vehicles of the U.S. Postal
Service. The plan must be submitted to the National Climate Task Force
by April 27, 2021.

(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13212 and [Executive
Order
13834](https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf)
and [Executive Order
14008](https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf))
",1992-10-24 00:00:00 UTC,2021-01-27 00:00:00 UTC,FALSE,22,Laws and Regulations,U.S. Department of Energy,2021-04-06 23:22:28 UTC,,,,,BIOD|ETH|ELEC|EFFEC|HEV|HY|NG|PHEV|LPG,,REQ,GOV|TRIBAL,http://www.gpo.gov/fdsys|https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf|https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf
358,US,Vehicle Acquisition and Fuel Use Requirements for Private and Local Government Fleets,"Under the Energy Policy Act (EPAct) of 1992, the U.S. Department of
Energy (DOE) was directed to determine whether private and local
government fleets should be mandated to acquire alternative fuel
vehicles (AFVs). In January 2004, DOE published a final rule announcing
its decision not to implement an AFV acquisition mandate for private and
local government fleets. In response to a March 2006 ruling by a U.S.
District Court, DOE issued a subsequent final rulemaking on the new
Replacement Fuel Goal in March 2007, which extended the EPAct 1992 goal
to 2030. The goal is to achieve a domestic production capacity for
replacement fuels sufficient to replace 30% of the U.S. motor fuel
consumption. In March 2008, DOE issued its determination not to
implement a fleet compliance mandate for private and local government
fleets, concluding that such a mandate is not necessary to achieve the
Replacement Fuel Goal. For more information on the Private and Local
Government Fleet Rule compliance, visit the [EPAct Private and Local
Government Fleet Determination](https://epact.energy.gov/about) website.
(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13257)
",1992-10-24 00:00:00 UTC,2008-03-14 00:00:00 UTC,FALSE,24,Laws and Regulations,U.S. Department of Energy,,,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,,REQ,FLEET|GOV,
378,US,Biomass Research and Development Initiative,"The U.S. Department of Agriculture\'s National Institute of Food and
Agriculture, in conjunction with U.S. Department of Energy\'s Office of
Biomass Programs, provides grant funding for projects addressing
research, development, and demonstration of biofuels and bio-based
products and the methods, practices, and technologies for their
production, under the Biomass Research and Development Initiative
(Section 9008). The competitive award process focuses on three main
technical areas: feedstock development; biofuels and bio-based products
development; and biofuels development analysis. Eligible applicants are
institutions of higher learning, national laboratories, federal research
agencies, private sector entities, and non-profit organizations. The
non-federal share of the total project cost must be at least 20% for
research and development projects and 50% for demonstration projects.
Renewable biomass is defined as materials, pre-commercial thinnings, or
invasive species on National Forest System land that qualify as
by-products of preventative treatments, are harvested in accordance with
applicable laws, and would not otherwise be used for higher-value
products, as well as naturally reoccurring organic matter on non-federal
or non-tribal lands, including renewable plant material, feed grains,
other plants and trees, algae, and vegetable and animal waste material
and by-products. This program\'s funding is subject to congressional
appropriations. For more information, see the [Biomass Research &
Development](https://biomassboard.gov/) website. (Reference [Public
Law](https://www.congress.gov/public-laws/116th-congress) 113-79 and 7
[U.S. Code](http://www.gpo.gov/fdsys/) 8108)
",2002-05-13 00:00:00 UTC,2014-02-07 00:00:00 UTC,FALSE,55,Incentives,U.S. Department of Agriculture,,,,,,BIOD|ETH,GNT,,AFP,http://thomas.loc.gov/home/LegislativeData.php?&n=PublicLaws&c=112|http://www.gpo.gov/fdsys/|http://www.congress.gov/
379,US,Value-Added Producer Grants (VAPG),"Value-Added Producer Grants (VAPG) are available to help independent
agricultural producers enter into or expand value-added activities,
including innovative uses of agricultural projects, such as biofuels
production. Eligible applicants include independent producers, farmer
and rancher cooperatives, agricultural producer groups, and
majority-controlled producer-based business ventures. Participants may
apply for either a planning grant or a working capital grant, but not
both. In addition, no more than 10% of program funds may be awarded to
majority-controlled producer-based business ventures. Grants are awarded
to projects determined to be economically viable and sustainable. For
more information about grant eligibility, see the
[VAPG](https://www.rd.usda.gov/programs-services/value-added-producer-grants)
website and contact the appropriate [State Rural Development
Office](https://www.rd.usda.gov/contact-us/state-offices). This
program\'s funding is subject to congressional appropriations.
(Reference [Public
Law](https://www.congress.gov/public-laws/113th-congress) 113-79,
Section 6203; and 7 [U.S. Code](https://www.govinfo.gov/) 1632a)
",2002-05-13 00:00:00 UTC,2014-02-07 00:00:00 UTC,FALSE,44,Incentives,U.S. Department of Agriculture,,,,,,BIOD|ETH,GNT,,AFP,http://www.gpo.gov/fdsys/|http://www.congress.gov/
383,US,Voluntary Airport Low Emission (VALE) Program,"The goal of the VALE Program is to reduce ground level emissions at
commercial service airports located in designated ozone and carbon
monoxide air quality nonattainment and maintenance areas. The VALE
Program provides funding through the Airport Improvement Program and the
Passenger Facility Charges program for the purchase of low emission
vehicles, development of fueling and recharging stations, implementing
gate electrification, and other airport air quality improvements. For
more information, see the [VALE
Program](http://www.faa.gov/airports/environmental/vale/) website.
(Reference 49 [U.S. Code](https://www.govinfo.gov/) 47139)
",2005-08-10 00:00:00 UTC,,FALSE,56,Programs,U.S. Department of Transportation,,,,,,BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,GNT,,STATION|FLEET,
385,US,Vehicle Fuel Economy and Greenhouse Gas (GHG) Emissions Standards,"Vehicle manufacturers must meet fuel economy and GHG emissions standards
for vehicles sold in the United States. The U.S. Department of
Transportation\'s (DOT) National Highway Traffic Safety Administration
(NHTSA) regulates fuel economy standards, while the U.S. Environmental
Protection Agency (EPA) regulates GHG emissions.

NHTSA\'s Corporate Average Fuel Economy (CAFE) program and EPA\'s
light-duty vehicle GHG emissions program set standards for passenger
cars, light-duty trucks, and medium-duty passenger vehicles. By Model
Year (MY) 2025, these vehicles must meet an estimated combined average
fuel economy of 48.7 to 49.7 miles per gallon or higher. The standards
provide flexibility to manufacturers, including the ability to earn
credits for alternative fuel vehicles. For information on the standards
from MY 2017-2025, see the [final
rule](http://www.gpo.gov/fdsys/pkg/FR-2012-10-15/pdf/2012-21972.pdf) in
the Federal Register.

NHTSA and EPA also regulate fuel economy and GHG emissions for on-road
vehicles with a gross vehicle weight rating (GVWR) of 8,500 pounds or
greater and the engines that power them. For MY 2014-2018 medium- and
heavy-duty vehicles that are not already covered by the standards
described above, manufacturers must meet increasingly stringent fuel
economy and GHG emissions standards tailored to each of three main
regulatory subcategories: combination tractors (also known as semi
trucks); heavy-duty pickup trucks and vans; and vocational vehicles
(such as delivery, refuse, and tow trucks; transit, shuttle, and school
buses; and emergency vehicles). The standards provide flexibility,
allowing for emissions and/or fuel consumption credits to be averaged,
banked, or traded. For more information, refer to the [final
rule](http://www.gpo.gov/fdsys/pkg/FR-2011-09-15/html/2011-20740.htm) in
the Federal Register.

For more information, see the EPA\'s [Regulations and
Standards](https://www.epa.gov/regulations-emissions-vehicles-and-engines/regulations-greenhouse-gas-ghg-emissions)
website and NHTSA\'s [CAFE](http://www.nhtsa.gov/fuel-economy/) website.
(Reference 40 [CFR](https://www.govinfo.gov/) 85-86, 600, 1033,
1036-1037, 1039, 1065-1066, and 1068; 49 [CFR](https://www.govinfo.gov/)
523, 531, 533-534, and 537-538; and 49 [U.S.
Code](https://www.govinfo.gov/) Chapter 329)
",1975-12-22 00:00:00 UTC,2011-09-15 00:00:00 UTC,FALSE,58,Laws and Regulations,U.S. Department of Transportation,,,,,,EFFEC,,AIRQEMISSIONS|CCEINIT,MAN,
